,positive_value,index,k
0,54.76,0.0,1.0
1,54.98,1.0,1.0
2,43.87,2.0,1.0
3,54.36,3.0,1.0
4,65.26,4.0,1.0
5,54.28,5.0,1.0
6,45.85,6.0,1.0
7,53.67,7.0,1.0
8,47.54,8.0,1.0
9,53.43,9.0,1.0
10,50.98,10.0,1.0
11,62.5,11.0,1.0
12,41.99,12.0,1.0
13,39.12,13.0,1.0
14,51.35,14.0,1.0
15,63.76,15.0,1.0
16,52.0,16.0,1.0
17,55.15,17.0,1.0
18,55.72,18.0,1.0
19,52.51,19.0,1.0
20,53.02,20.0,1.0
21,56.7,21.0,1.0
22,52.26,22.0,1.0
23,53.24,23.0,1.0
24,54.11,24.0,1.0
25,59.38,25.0,1.0
26,58.65,26.0,1.0
27,61.99,27.0,1.0
28,68.33,28.0,1.0
29,44.0,29.0,1.0
30,60.26,30.0,1.0
31,53.56,31.0,1.0
32,59.52,32.0,1.0
33,45.75,33.0,1.0
34,51.9,34.0,1.0
35,58.33,35.0,1.0
36,47.04,36.0,1.0
37,52.34,37.0,1.0
38,62.81,38.0,1.0
39,56.67,39.0,1.0
40,44.89,40.0,1.0
41,53.03,41.0,1.0
42,52.63,42.0,1.0
43,51.45,43.0,1.0
44,66.67,44.0,1.0
45,57.06,45.0,1.0
46,53.68,46.0,1.0
47,41.83,47.0,1.0
48,46.0,48.0,1.0
49,52.86,49.0,1.0
50,59.17,50.0,1.0
51,47.83,51.0,1.0
52,50.73,52.0,1.0
53,63.64,53.0,1.0
54,47.89,54.0,1.0
55,51.67,55.0,1.0
56,79.08,56.0,1.0
57,43.44,57.0,1.0
58,52.43,58.0,1.0
59,49.85,59.0,1.0
60,38.33,60.0,1.0
61,47.95,61.0,1.0
62,56.91,62.0,1.0
63,53.44,63.0,1.0
64,43.43,64.0,1.0
65,45.32,65.0,1.0
66,59.69,66.0,1.0
67,31.92,67.0,1.0
68,54.69,68.0,1.0
69,52.51,69.0,1.0
70,45.61,70.0,1.0
71,41.32,71.0,1.0
72,50.19,72.0,1.0
73,50.67,73.0,1.0
74,30.87,74.0,1.0
75,47.23,75.0,1.0
76,29.03,76.0,1.0
77,37.63,77.0,1.0
78,44.61,78.0,1.0
79,24.59,79.0,1.0
80,47.59,80.0,1.0
81,43.22,81.0,1.0
82,44.44,82.0,1.0
83,33.49,83.0,1.0
84,39.43,84.0,1.0
85,43.42,85.0,1.0
86,40.11,86.0,1.0
87,60.08,87.0,1.0
88,46.03,88.0,1.0
89,40.73,89.0,1.0
90,31.61,90.0,1.0
91,30.34,91.0,1.0
92,33.01,92.0,1.0
93,46.09,93.0,1.0
94,47.54,94.0,1.0
95,40.7,95.0,1.0
96,35.96,96.0,1.0
97,52.71,97.0,1.0
98,57.96,98.0,1.0
99,57.08,99.0,1.0
100,55.84,100.0,1.0
101,57.21,101.0,1.0
102,45.58,102.0,1.0
103,54.96,103.0,1.0
104,36.15,104.0,1.0
105,39.15,105.0,1.0
106,36.18,106.0,1.0
107,28.67,107.0,1.0
108,37.3,108.0,1.0
109,28.29,109.0,1.0
110,28.7,110.0,1.0
111,29.58,111.0,1.0
112,37.71,112.0,1.0
113,43.15,113.0,1.0
114,35.0,114.0,1.0
115,34.58,115.0,1.0
116,30.43,116.0,1.0
117,34.8,117.0,1.0
118,33.3,118.0,1.0
119,37.65,119.0,1.0
120,30.19,120.0,1.0
121,36.68,121.0,1.0
122,34.77,122.0,1.0
123,38.76,123.0,1.0
124,33.07,124.0,1.0
125,29.68,125.0,1.0
126,31.24,126.0,1.0
127,37.56,127.0,1.0
128,39.52,128.0,1.0
129,31.68,129.0,1.0
130,34.43,130.0,1.0
131,40.26,131.0,1.0
132,38.05,132.0,1.0
133,39.43,133.0,1.0
134,46.63,134.0,1.0
135,44.21,135.0,1.0
136,50.34,136.0,1.0
137,44.57,137.0,1.0
138,46.91,138.0,1.0
139,46.76,139.0,1.0
140,47.12,140.0,1.0
141,47.51,141.0,1.0
142,43.83,142.0,1.0
143,44.63,143.0,1.0
144,47.83,144.0,1.0
145,48.37,145.0,1.0
146,46.34,146.0,1.0
147,43.6,147.0,1.0
148,41.98,148.0,1.0
149,49.86,149.0,1.0
150,50.01,150.0,1.0
151,42.04,151.0,1.0
152,49.34,152.0,1.0
153,46.43,153.0,1.0
154,49.96,154.0,1.0
155,51.41,155.0,1.0
156,44.33,156.0,1.0
157,44.13,157.0,1.0
158,39.71,158.0,1.0
159,50.45,159.0,1.0
160,46.07,160.0,1.0
161,52.21,161.0,1.0
162,44.04,162.0,1.0
163,47.16,163.0,1.0
164,48.17,164.0,1.0
165,49.05,165.0,1.0
166,48.13,166.0,1.0
167,48.28,167.0,1.0
168,51.79,168.0,1.0
169,43.64,169.0,1.0
170,39.98,170.0,1.0
171,47.23,171.0,1.0
172,43.49,172.0,1.0
173,50.58,173.0,1.0
174,48.21,174.0,1.0
175,51.05,175.0,1.0
176,54.64,176.0,1.0
177,47.72,177.0,1.0
178,50.27,178.0,1.0
179,41.56,179.0,1.0
180,46.16,180.0,1.0
181,50.87,181.0,1.0
182,45.77,182.0,1.0
183,45.06,183.0,1.0
184,50.16,184.0,1.0
185,46.82,185.0,1.0
186,50.43,186.0,1.0
187,54.67,0.0,2.0
188,51.26,1.0,2.0
189,52.84,2.0,2.0
190,54.21,3.0,2.0
191,57.69,4.0,2.0
192,58.1,5.0,2.0
193,54.27,6.0,2.0
194,40.34,7.0,2.0
195,53.33,8.0,2.0
196,55.56,9.0,2.0
197,45.83,10.0,2.0
198,57.58,11.0,2.0
199,47.08,12.0,2.0
200,45.65,13.0,2.0
201,51.85,14.0,2.0
202,63.0,15.0,2.0
203,54.23,16.0,2.0
204,58.12,17.0,2.0
205,53.41,18.0,2.0
206,53.75,19.0,2.0
207,51.78,20.0,2.0
208,65.38,21.0,2.0
209,55.2,22.0,2.0
210,56.71,23.0,2.0
211,53.54,24.0,2.0
212,59.0,25.0,2.0
213,67.25,26.0,2.0
214,53.33,27.0,2.0
215,64.92,28.0,2.0
216,58.97,29.0,2.0
217,52.99,30.0,2.0
218,61.43,31.0,2.0
219,54.9,32.0,2.0
220,54.86,33.0,2.0
221,53.03,34.0,2.0
222,59.61,35.0,2.0
223,51.39,36.0,2.0
224,56.65,37.0,2.0
225,63.33,38.0,2.0
226,54.5,39.0,2.0
227,55.25,40.0,2.0
228,50.0,41.0,2.0
229,52.9,42.0,2.0
230,52.38,43.0,2.0
231,62.7,44.0,2.0
232,48.92,45.0,2.0
233,54.9,46.0,2.0
234,50.67,47.0,2.0
235,44.29,48.0,2.0
236,61.88,49.0,2.0
237,54.71,50.0,2.0
238,52.06,51.0,2.0
239,61.82,52.0,2.0
240,55.26,53.0,2.0
241,52.67,54.0,2.0
242,50.33,55.0,2.0
243,66.24,56.0,2.0
244,50.03,57.0,2.0
245,55.18,58.0,2.0
246,49.17,59.0,2.0
247,38.01,60.0,2.0
248,50.9,61.0,2.0
249,52.63,62.0,2.0
250,56.67,63.0,2.0
251,43.6,64.0,2.0
252,51.83,65.0,2.0
253,38.37,66.0,2.0
254,54.29,67.0,2.0
255,52.6,68.0,2.0
256,50.32,69.0,2.0
257,42.53,70.0,2.0
258,43.56,71.0,2.0
259,48.88,72.0,2.0
260,54.2,73.0,2.0
261,40.68,74.0,2.0
262,31.18,75.0,2.0
263,27.19,76.0,2.0
264,40.4,77.0,2.0
265,50.23,78.0,2.0
266,32.87,79.0,2.0
267,49.21,80.0,2.0
268,40.19,81.0,2.0
269,34.24,82.0,2.0
270,36.75,83.0,2.0
271,42.69,84.0,2.0
272,49.55,85.0,2.0
273,25.3,86.0,2.0
274,57.41,87.0,2.0
275,47.38,88.0,2.0
276,35.92,89.0,2.0
277,32.74,90.0,2.0
278,33.02,91.0,2.0
279,43.6,92.0,2.0
280,47.12,93.0,2.0
281,47.65,94.0,2.0
282,36.77,95.0,2.0
283,42.68,96.0,2.0
284,52.35,97.0,2.0
285,57.45,98.0,2.0
286,55.98,99.0,2.0
287,57.12,100.0,2.0
288,43.43,101.0,2.0
289,45.38,102.0,2.0
290,42.07,103.0,2.0
291,36.1,104.0,2.0
292,38.69,105.0,2.0
293,35.27,106.0,2.0
294,30.74,107.0,2.0
295,27.01,108.0,2.0
296,29.33,109.0,2.0
297,29.8,110.0,2.0
298,34.9,111.0,2.0
299,40.05,112.0,2.0
300,37.91,113.0,2.0
301,33.11,114.0,2.0
302,29.51,115.0,2.0
303,33.45,116.0,2.0
304,32.25,117.0,2.0
305,38.76,118.0,2.0
306,29.52,119.0,2.0
307,33.33,120.0,2.0
308,34.57,121.0,2.0
309,37.3,122.0,2.0
310,30.19,123.0,2.0
311,33.68,124.0,2.0
312,28.89,125.0,2.0
313,36.75,126.0,2.0
314,38.21,127.0,2.0
315,33.55,128.0,2.0
316,33.29,129.0,2.0
317,39.13,130.0,2.0
318,38.09,131.0,2.0
319,38.51,132.0,2.0
320,45.62,133.0,2.0
321,44.74,134.0,2.0
322,49.66,135.0,2.0
323,45.52,136.0,2.0
324,45.84,137.0,2.0
325,46.38,138.0,2.0
326,46.98,139.0,2.0
327,46.59,140.0,2.0
328,42.73,141.0,2.0
329,44.3,142.0,2.0
330,47.37,143.0,2.0
331,47.42,144.0,2.0
332,45.52,145.0,2.0
333,43.57,146.0,2.0
334,41.61,147.0,2.0
335,48.07,148.0,2.0
336,49.89,149.0,2.0
337,43.19,150.0,2.0
338,43.89,151.0,2.0
339,51.89,152.0,2.0
340,45.88,153.0,2.0
341,50.49,154.0,2.0
342,45.81,155.0,2.0
343,42.39,156.0,2.0
344,39.03,157.0,2.0
345,46.1,158.0,2.0
346,48.94,159.0,2.0
347,51.96,160.0,2.0
348,43.3,161.0,2.0
349,42.35,162.0,2.0
350,50.24,163.0,2.0
351,50.62,164.0,2.0
352,47.31,165.0,2.0
353,45.65,166.0,2.0
354,48.58,167.0,2.0
355,41.49,168.0,2.0
356,40.73,169.0,2.0
357,44.56,170.0,2.0
358,44.36,171.0,2.0
359,49.42,172.0,2.0
360,47.4,173.0,2.0
361,52.85,174.0,2.0
362,54.16,175.0,2.0
363,47.86,176.0,2.0
364,48.81,177.0,2.0
365,44.4,178.0,2.0
366,40.8,179.0,2.0
367,48.06,180.0,2.0
368,42.75,181.0,2.0
369,45.71,182.0,2.0
370,50.85,183.0,2.0
371,46.03,184.0,2.0
372,50.16,185.0,2.0
373,59.53,0.0,3.0
374,50.84,1.0,3.0
375,50.57,2.0,3.0
376,54.45,3.0,3.0
377,50.62,4.0,3.0
378,49.15,5.0,3.0
379,54.86,6.0,3.0
380,54.77,7.0,3.0
381,54.38,8.0,3.0
382,54.89,9.0,3.0
383,52.6,10.0,3.0
384,59.93,11.0,3.0
385,59.94,12.0,3.0
386,53.08,13.0,3.0
387,57.31,14.0,3.0
388,54.79,15.0,3.0
389,53.21,16.0,3.0
390,55.47,17.0,3.0
391,48.98,18.0,3.0
392,51.01,19.0,3.0
393,55.29,20.0,3.0
394,54.51,21.0,3.0
395,54.49,22.0,3.0
396,58.65,23.0,3.0
397,52.51,24.0,3.0
398,54.76,25.0,3.0
399,54.24,26.0,3.0
400,47.11,27.0,3.0
401,50.39,28.0,3.0
402,56.81,29.0,3.0
403,52.35,30.0,3.0
404,47.91,31.0,3.0
405,34.54,32.0,3.0
406,53.77,33.0,3.0
407,43.66,34.0,3.0
408,47.17,35.0,3.0
409,38.04,36.0,3.0
410,38.8,37.0,3.0
411,41.49,38.0,3.0
412,43.0,39.0,3.0
413,37.91,40.0,3.0
414,42.33,41.0,3.0
415,42.93,42.0,3.0
416,37.12,43.0,3.0
417,35.38,44.0,3.0
418,40.41,45.0,3.0
419,46.12,46.0,3.0
420,50.73,47.0,3.0
421,59.2,48.0,3.0
422,56.15,49.0,3.0
423,44.04,50.0,3.0
424,39.66,51.0,3.0
425,32.47,52.0,3.0
426,30.36,53.0,3.0
427,32.49,54.0,3.0
428,39.82,55.0,3.0
429,33.06,56.0,3.0
430,33.9,57.0,3.0
431,33.43,58.0,3.0
432,34.03,59.0,3.0
433,36.09,60.0,3.0
434,30.31,61.0,3.0
435,35.79,62.0,3.0
436,33.63,63.0,3.0
437,36.53,64.0,3.0
438,38.67,65.0,3.0
439,45.71,66.0,3.0
440,47.48,67.0,3.0
441,46.65,68.0,3.0
442,46.55,69.0,3.0
443,43.54,70.0,3.0
444,47.85,71.0,3.0
445,44.72,72.0,3.0
446,44.57,73.0,3.0
447,45.18,74.0,3.0
448,47.89,75.0,3.0
449,50.1,76.0,3.0
450,44.88,77.0,3.0
451,46.02,78.0,3.0
452,48.29,79.0,3.0
453,47.12,80.0,3.0
454,49.98,81.0,3.0
455,50.0,82.0,3.0
456,45.55,83.0,3.0
457,43.39,84.0,3.0
458,46.77,85.0,3.0
459,52.79,86.0,3.0
460,52.31,87.0,3.0
461,47.67,88.0,3.0
462,47.78,89.0,3.0
463,46.81,90.0,3.0
464,49.55,91.0,3.0
465,46.52,0.0,4.0
466,52.55,1.0,4.0
467,51.28,2.0,4.0
468,54.83,3.0,4.0
469,55.27,4.0,4.0
470,53.87,5.0,4.0
471,55.99,6.0,4.0
472,53.18,7.0,4.0
473,54.26,8.0,4.0
474,53.55,9.0,4.0
475,51.02,10.0,4.0
476,51.97,11.0,4.0
477,54.62,12.0,4.0
478,55.9,13.0,4.0
479,54.5,14.0,4.0
480,54.59,15.0,4.0
481,47.73,16.0,4.0
482,53.05,17.0,4.0
483,51.58,18.0,4.0
484,44.44,19.0,4.0
485,44.58,20.0,4.0
486,53.15,21.0,4.0
487,48.09,22.0,4.0
488,33.65,23.0,4.0
489,45.87,24.0,4.0
490,37.83,25.0,4.0
491,35.37,26.0,4.0
492,42.81,27.0,4.0
493,31.12,28.0,4.0
494,40.72,29.0,4.0
495,46.13,30.0,4.0
496,58.38,31.0,4.0
497,56.07,32.0,4.0
498,38.06,33.0,4.0
499,31.76,34.0,4.0
500,29.3,35.0,4.0
501,38.2,36.0,4.0
502,29.49,37.0,4.0
503,33.78,38.0,4.0
504,35.02,39.0,4.0
505,28.33,40.0,4.0
506,36.69,41.0,4.0
507,35.79,42.0,4.0
508,39.51,43.0,4.0
509,46.31,44.0,4.0
510,45.7,45.0,4.0
511,43.59,46.0,4.0
512,45.12,47.0,4.0
513,44.67,48.0,4.0
514,45.67,49.0,4.0
515,48.81,50.0,4.0
516,45.53,51.0,4.0
517,46.64,52.0,4.0
518,49.8,53.0,4.0
519,48.08,54.0,4.0
520,43.92,55.0,4.0
521,47.8,56.0,4.0
522,52.77,57.0,4.0
523,47.95,58.0,4.0
524,45.25,59.0,4.0
525,47.53,60.0,4.0
