,positive_value,index,k
0,57.98,0.0,1.0
1,62.09,1.0,1.0
2,63.33,2.0,1.0
3,65.37,3.0,1.0
4,58.61,4.0,1.0
5,56.91,5.0,1.0
6,52.38,6.0,1.0
7,54.0,7.0,1.0
8,53.58,8.0,1.0
9,54.15,9.0,1.0
10,53.59,10.0,1.0
11,49.93,11.0,1.0
12,60.2,12.0,1.0
13,58.49,13.0,1.0
14,47.29,14.0,1.0
15,60.61,15.0,1.0
16,60.31,16.0,1.0
17,53.65,17.0,1.0
18,47.95,18.0,1.0
19,41.67,19.0,1.0
20,55.69,20.0,1.0
21,57.69,21.0,1.0
22,64.1,22.0,1.0
23,29.52,23.0,1.0
24,39.22,24.0,1.0
25,54.97,25.0,1.0
26,57.39,26.0,1.0
27,54.43,27.0,1.0
28,50.59,28.0,1.0
29,50.74,29.0,1.0
30,42.86,30.0,1.0
31,55.11,31.0,1.0
32,56.67,32.0,1.0
33,45.26,33.0,1.0
34,50.0,34.0,1.0
35,62.34,35.0,1.0
36,37.1,36.0,1.0
37,50.22,37.0,1.0
38,49.67,38.0,1.0
39,62.67,39.0,1.0
40,60.48,40.0,1.0
41,47.51,41.0,1.0
42,52.54,42.0,1.0
43,46.19,43.0,1.0
44,41.82,44.0,1.0
45,53.68,45.0,1.0
46,26.0,46.0,1.0
47,63.4,47.0,1.0
48,52.69,48.0,1.0
49,44.01,49.0,1.0
50,53.08,50.0,1.0
51,60.0,51.0,1.0
52,51.46,52.0,1.0
53,62.01,53.0,1.0
54,59.11,54.0,1.0
55,51.11,55.0,1.0
56,51.23,56.0,1.0
57,51.83,57.0,1.0
58,49.37,58.0,1.0
59,58.02,59.0,1.0
60,47.87,60.0,1.0
61,33.86,61.0,1.0
62,54.26,62.0,1.0
63,62.12,63.0,1.0
64,51.52,64.0,1.0
65,51.92,65.0,1.0
66,54.91,66.0,1.0
67,61.51,67.0,1.0
68,56.53,68.0,1.0
69,56.82,69.0,1.0
70,49.85,70.0,1.0
71,53.56,71.0,1.0
72,58.59,72.0,1.0
73,53.04,73.0,1.0
74,55.31,74.0,1.0
75,52.37,75.0,1.0
76,38.93,76.0,1.0
77,45.19,77.0,1.0
78,44.27,78.0,1.0
79,58.2,79.0,1.0
80,53.02,80.0,1.0
81,58.51,81.0,1.0
82,44.9,82.0,1.0
83,51.26,83.0,1.0
84,49.0,84.0,1.0
85,45.97,85.0,1.0
86,41.47,86.0,1.0
87,47.98,87.0,1.0
88,44.12,88.0,1.0
89,50.98,89.0,1.0
90,52.58,90.0,1.0
91,52.38,91.0,1.0
92,48.19,92.0,1.0
93,51.72,93.0,1.0
94,30.42,94.0,1.0
95,40.06,95.0,1.0
96,50.98,96.0,1.0
97,51.42,97.0,1.0
98,49.45,98.0,1.0
99,51.11,99.0,1.0
100,51.64,100.0,1.0
101,54.37,101.0,1.0
102,53.42,102.0,1.0
103,56.8,103.0,1.0
104,56.38,104.0,1.0
105,54.16,105.0,1.0
106,54.23,106.0,1.0
107,52.63,107.0,1.0
108,58.49,108.0,1.0
109,52.6,109.0,1.0
110,53.29,110.0,1.0
111,56.66,111.0,1.0
112,55.45,112.0,1.0
113,52.48,113.0,1.0
114,56.53,114.0,1.0
115,52.0,115.0,1.0
116,53.94,116.0,1.0
117,54.38,117.0,1.0
118,55.26,118.0,1.0
119,55.32,119.0,1.0
120,55.1,120.0,1.0
121,52.87,121.0,1.0
122,53.84,122.0,1.0
123,53.24,123.0,1.0
124,52.2,124.0,1.0
125,51.56,125.0,1.0
126,51.16,126.0,1.0
127,45.31,127.0,1.0
128,48.1,128.0,1.0
129,51.15,129.0,1.0
130,42.62,130.0,1.0
131,46.7,131.0,1.0
132,45.45,132.0,1.0
133,50.38,133.0,1.0
134,44.17,134.0,1.0
135,51.05,135.0,1.0
136,48.92,136.0,1.0
137,47.39,137.0,1.0
138,49.5,138.0,1.0
139,51.27,139.0,1.0
140,43.5,140.0,1.0
141,47.77,141.0,1.0
142,47.36,142.0,1.0
143,45.63,143.0,1.0
144,53.06,144.0,1.0
145,46.3,145.0,1.0
146,46.29,146.0,1.0
147,50.65,147.0,1.0
148,45.36,148.0,1.0
149,50.66,149.0,1.0
150,59.46,150.0,1.0
151,54.49,151.0,1.0
152,51.28,152.0,1.0
153,48.62,153.0,1.0
154,49.82,154.0,1.0
155,39.63,155.0,1.0
156,46.68,156.0,1.0
157,35.97,157.0,1.0
158,46.67,158.0,1.0
159,42.62,159.0,1.0
160,53.96,160.0,1.0
161,45.91,161.0,1.0
162,53.67,162.0,1.0
163,53.01,163.0,1.0
164,54.5,164.0,1.0
165,45.18,165.0,1.0
166,48.5,166.0,1.0
167,42.47,167.0,1.0
168,25.65,168.0,1.0
169,48.07,169.0,1.0
170,42.25,170.0,1.0
171,52.45,171.0,1.0
172,49.72,172.0,1.0
173,52.07,173.0,1.0
174,51.58,174.0,1.0
175,43.64,175.0,1.0
176,50.29,176.0,1.0
177,43.77,177.0,1.0
178,58.37,0.0,2.0
179,63.33,1.0,2.0
180,65.37,2.0,2.0
181,58.61,3.0,2.0
182,56.91,4.0,2.0
183,52.38,5.0,2.0
184,54.0,6.0,2.0
185,53.79,7.0,2.0
186,54.37,8.0,2.0
187,53.59,9.0,2.0
188,48.81,10.0,2.0
189,60.2,11.0,2.0
190,58.49,12.0,2.0
191,47.29,13.0,2.0
192,60.61,14.0,2.0
193,60.31,15.0,2.0
194,53.65,16.0,2.0
195,47.95,17.0,2.0
196,41.67,18.0,2.0
197,55.69,19.0,2.0
198,57.69,20.0,2.0
199,64.1,21.0,2.0
200,29.52,22.0,2.0
201,39.22,23.0,2.0
202,54.97,24.0,2.0
203,57.39,25.0,2.0
204,54.43,26.0,2.0
205,50.59,27.0,2.0
206,50.74,28.0,2.0
207,42.86,29.0,2.0
208,55.11,30.0,2.0
209,56.67,31.0,2.0
210,45.26,32.0,2.0
211,50.0,33.0,2.0
212,62.34,34.0,2.0
213,37.1,35.0,2.0
214,50.22,36.0,2.0
215,49.67,37.0,2.0
216,62.67,38.0,2.0
217,60.48,39.0,2.0
218,45.23,40.0,2.0
219,52.54,41.0,2.0
220,46.19,42.0,2.0
221,41.82,43.0,2.0
222,53.68,44.0,2.0
223,26.0,45.0,2.0
224,63.4,46.0,2.0
225,52.69,47.0,2.0
226,44.01,48.0,2.0
227,53.08,49.0,2.0
228,60.0,50.0,2.0
229,51.46,51.0,2.0
230,62.01,52.0,2.0
231,59.11,53.0,2.0
232,51.11,54.0,2.0
233,50.49,55.0,2.0
234,51.83,56.0,2.0
235,49.37,57.0,2.0
236,58.02,58.0,2.0
237,47.87,59.0,2.0
238,33.86,60.0,2.0
239,54.26,61.0,2.0
240,62.12,62.0,2.0
241,51.52,63.0,2.0
242,51.92,64.0,2.0
243,54.91,65.0,2.0
244,61.51,66.0,2.0
245,56.53,67.0,2.0
246,56.82,68.0,2.0
247,49.85,69.0,2.0
248,53.56,70.0,2.0
249,58.59,71.0,2.0
250,53.04,72.0,2.0
251,55.31,73.0,2.0
252,52.37,74.0,2.0
253,38.93,75.0,2.0
254,45.13,76.0,2.0
255,44.27,77.0,2.0
256,58.2,78.0,2.0
257,53.02,79.0,2.0
258,58.51,80.0,2.0
259,44.9,81.0,2.0
260,51.26,82.0,2.0
261,49.0,83.0,2.0
262,45.97,84.0,2.0
263,41.47,85.0,2.0
264,47.98,86.0,2.0
265,44.12,87.0,2.0
266,51.01,88.0,2.0
267,52.58,89.0,2.0
268,52.38,90.0,2.0
269,48.19,91.0,2.0
270,51.72,92.0,2.0
271,30.42,93.0,2.0
272,39.96,94.0,2.0
273,50.98,95.0,2.0
274,51.42,96.0,2.0
275,49.45,97.0,2.0
276,51.11,98.0,2.0
277,51.64,99.0,2.0
278,54.03,100.0,2.0
279,53.42,101.0,2.0
280,56.8,102.0,2.0
281,57.01,103.0,2.0
282,54.16,104.0,2.0
283,54.23,105.0,2.0
284,53.39,106.0,2.0
285,58.49,107.0,2.0
286,52.15,108.0,2.0
287,53.27,109.0,2.0
288,56.85,110.0,2.0
289,55.45,111.0,2.0
290,52.48,112.0,2.0
291,56.86,113.0,2.0
292,52.0,114.0,2.0
293,53.94,115.0,2.0
294,54.57,116.0,2.0
295,55.39,117.0,2.0
296,55.34,118.0,2.0
297,55.04,119.0,2.0
298,53.06,120.0,2.0
299,53.9,121.0,2.0
300,53.22,122.0,2.0
301,52.2,123.0,2.0
302,51.56,124.0,2.0
303,51.15,125.0,2.0
304,45.31,126.0,2.0
305,48.1,127.0,2.0
306,51.14,128.0,2.0
307,42.63,129.0,2.0
308,46.7,130.0,2.0
309,45.19,131.0,2.0
310,50.26,132.0,2.0
311,44.18,133.0,2.0
312,50.91,134.0,2.0
313,48.92,135.0,2.0
314,47.1,136.0,2.0
315,49.5,137.0,2.0
316,51.25,138.0,2.0
317,43.5,139.0,2.0
318,47.77,140.0,2.0
319,47.36,141.0,2.0
320,45.63,142.0,2.0
321,53.0,143.0,2.0
322,46.3,144.0,2.0
323,46.29,145.0,2.0
324,50.33,146.0,2.0
325,45.36,147.0,2.0
326,50.66,148.0,2.0
327,59.46,149.0,2.0
328,54.49,150.0,2.0
329,51.28,151.0,2.0
330,48.62,152.0,2.0
331,49.82,153.0,2.0
332,39.63,154.0,2.0
333,46.68,155.0,2.0
334,35.82,156.0,2.0
335,46.67,157.0,2.0
336,42.62,158.0,2.0
337,53.96,159.0,2.0
338,45.79,160.0,2.0
339,53.67,161.0,2.0
340,52.96,162.0,2.0
341,54.5,163.0,2.0
342,45.18,164.0,2.0
343,48.5,165.0,2.0
344,42.47,166.0,2.0
345,25.65,167.0,2.0
346,48.07,168.0,2.0
347,42.25,169.0,2.0
348,52.45,170.0,2.0
349,49.72,171.0,2.0
350,52.07,172.0,2.0
351,51.58,173.0,2.0
352,43.64,174.0,2.0
353,50.29,175.0,2.0
354,43.77,176.0,2.0
355,59.17,0.0,3.0
356,59.21,1.0,3.0
357,54.52,2.0,3.0
358,53.9,3.0,3.0
359,54.34,4.0,3.0
360,52.57,5.0,3.0
361,50.98,6.0,3.0
362,59.31,7.0,3.0
363,50.87,8.0,3.0
364,53.66,9.0,3.0
365,60.64,10.0,3.0
366,34.41,11.0,3.0
367,55.6,12.0,3.0
368,50.81,13.0,3.0
369,52.41,14.0,3.0
370,54.77,15.0,3.0
371,46.72,16.0,3.0
372,51.29,17.0,3.0
373,49.49,18.0,3.0
374,61.93,19.0,3.0
375,54.15,20.0,3.0
376,42.16,21.0,3.0
377,40.71,22.0,3.0
378,55.61,23.0,3.0
379,54.37,24.0,3.0
380,53.95,25.0,3.0
381,60.46,26.0,3.0
382,50.39,27.0,3.0
383,50.55,28.0,3.0
384,54.94,29.0,3.0
385,47.53,30.0,3.0
386,53.93,31.0,3.0
387,52.6,32.0,3.0
388,56.35,33.0,3.0
389,53.1,34.0,3.0
390,56.3,35.0,3.0
391,54.62,36.0,3.0
392,47.8,37.0,3.0
393,44.17,38.0,3.0
394,55.08,39.0,3.0
395,51.23,40.0,3.0
396,50.23,41.0,3.0
397,44.19,42.0,3.0
398,45.49,43.0,3.0
399,53.52,44.0,3.0
400,50.61,45.0,3.0
401,46.9,46.0,3.0
402,46.5,47.0,3.0
403,49.02,48.0,3.0
404,53.79,49.0,3.0
405,54.86,50.0,3.0
406,56.36,51.0,3.0
407,55.91,52.0,3.0
408,55.49,53.0,3.0
409,52.63,54.0,3.0
410,56.35,55.0,3.0
411,53.67,56.0,3.0
412,52.84,57.0,3.0
413,54.87,58.0,3.0
414,54.82,59.0,3.0
415,53.41,60.0,3.0
416,52.41,61.0,3.0
417,51.31,62.0,3.0
418,46.51,63.0,3.0
419,47.87,64.0,3.0
420,46.0,65.0,3.0
421,48.03,66.0,3.0
422,49.84,67.0,3.0
423,48.5,68.0,3.0
424,49.1,69.0,3.0
425,47.05,70.0,3.0
426,49.63,71.0,3.0
