,positive_value,index,k
0,75.16,0.0,1.0
1,70.0,1.0,1.0
2,72.73,2.0,1.0
3,79.09,3.0,1.0
4,65.32,4.0,1.0
5,63.49,5.0,1.0
6,70.0,6.0,1.0
7,61.76,7.0,1.0
8,58.78,8.0,1.0
9,55.33,9.0,1.0
10,59.82,10.0,1.0
11,67.14,11.0,1.0
12,63.66,12.0,1.0
13,62.52,13.0,1.0
14,59.31,14.0,1.0
15,73.23,15.0,1.0
16,65.06,16.0,1.0
17,36.84,17.0,1.0
18,55.83,18.0,1.0
19,57.54,19.0,1.0
20,60.26,20.0,1.0
21,59.26,21.0,1.0
22,58.1,22.0,1.0
23,49.02,23.0,1.0
24,62.68,24.0,1.0
25,59.66,25.0,1.0
26,56.4,26.0,1.0
27,47.25,27.0,1.0
28,47.78,28.0,1.0
29,37.14,29.0,1.0
30,54.5,30.0,1.0
31,60.61,31.0,1.0
32,36.84,32.0,1.0
33,35.51,33.0,1.0
34,64.5,34.0,1.0
35,37.1,35.0,1.0
36,30.74,36.0,1.0
37,32.03,37.0,1.0
38,69.0,38.0,1.0
39,67.62,39.0,1.0
40,55.19,40.0,1.0
41,44.93,41.0,1.0
42,49.55,42.0,1.0
43,25.45,43.0,1.0
44,38.95,44.0,1.0
45,34.67,45.0,1.0
46,46.41,46.0,1.0
47,46.24,47.0,1.0
48,32.85,48.0,1.0
49,55.49,49.0,1.0
50,44.17,50.0,1.0
51,60.82,51.0,1.0
52,60.51,52.0,1.0
53,61.4,53.0,1.0
54,50.81,54.0,1.0
55,60.59,55.0,1.0
56,56.26,56.0,1.0
57,52.75,57.0,1.0
58,61.84,58.0,1.0
59,50.3,59.0,1.0
60,52.17,60.0,1.0
61,50.21,61.0,1.0
62,48.3,62.0,1.0
63,45.38,63.0,1.0
64,50.36,64.0,1.0
65,52.35,65.0,1.0
66,53.33,66.0,1.0
67,55.2,67.0,1.0
68,51.77,68.0,1.0
69,38.01,69.0,1.0
70,56.09,70.0,1.0
71,51.53,71.0,1.0
72,59.32,72.0,1.0
73,50.88,73.0,1.0
74,43.12,74.0,1.0
75,33.52,75.0,1.0
76,47.55,76.0,1.0
77,22.92,77.0,1.0
78,45.24,78.0,1.0
79,38.71,79.0,1.0
80,38.2,80.0,1.0
81,45.62,81.0,1.0
82,52.51,82.0,1.0
83,49.35,83.0,1.0
84,45.93,84.0,1.0
85,54.84,85.0,1.0
86,51.01,86.0,1.0
87,36.5,87.0,1.0
88,44.26,88.0,1.0
89,41.86,89.0,1.0
90,46.89,90.0,1.0
91,45.61,91.0,1.0
92,49.6,92.0,1.0
93,45.21,93.0,1.0
94,39.85,94.0,1.0
95,47.2,95.0,1.0
96,52.87,96.0,1.0
97,51.04,97.0,1.0
98,55.3,98.0,1.0
99,56.14,99.0,1.0
100,57.27,100.0,1.0
101,55.6,101.0,1.0
102,56.08,102.0,1.0
103,57.53,103.0,1.0
104,58.48,104.0,1.0
105,50.03,105.0,1.0
106,52.29,106.0,1.0
107,55.15,107.0,1.0
108,53.27,108.0,1.0
109,58.32,109.0,1.0
110,55.39,110.0,1.0
111,57.73,111.0,1.0
112,48.63,112.0,1.0
113,57.14,113.0,1.0
114,56.83,114.0,1.0
115,54.4,115.0,1.0
116,53.56,116.0,1.0
117,53.53,117.0,1.0
118,54.3,118.0,1.0
119,52.7,119.0,1.0
120,51.44,120.0,1.0
121,48.51,121.0,1.0
122,51.15,122.0,1.0
123,51.17,123.0,1.0
124,50.48,124.0,1.0
125,47.79,125.0,1.0
126,45.68,126.0,1.0
127,48.21,127.0,1.0
128,49.43,128.0,1.0
129,42.89,129.0,1.0
130,40.05,130.0,1.0
131,43.88,131.0,1.0
132,39.29,132.0,1.0
133,46.23,133.0,1.0
134,46.59,134.0,1.0
135,42.68,135.0,1.0
136,43.37,136.0,1.0
137,49.07,137.0,1.0
138,49.65,138.0,1.0
139,52.85,139.0,1.0
140,49.14,140.0,1.0
141,51.82,141.0,1.0
142,52.07,142.0,1.0
143,52.77,143.0,1.0
144,50.79,144.0,1.0
145,52.71,145.0,1.0
146,50.97,146.0,1.0
147,53.59,147.0,1.0
148,53.64,148.0,1.0
149,51.5,149.0,1.0
150,50.42,150.0,1.0
151,49.74,151.0,1.0
152,56.3,152.0,1.0
153,55.3,153.0,1.0
154,45.24,154.0,1.0
155,49.22,155.0,1.0
156,50.72,156.0,1.0
157,50.35,157.0,1.0
158,51.3,158.0,1.0
159,47.53,159.0,1.0
160,50.38,160.0,1.0
161,52.07,161.0,1.0
162,51.72,162.0,1.0
163,48.29,163.0,1.0
164,40.71,164.0,1.0
165,44.14,165.0,1.0
166,39.13,166.0,1.0
167,41.62,167.0,1.0
168,52.87,168.0,1.0
169,51.54,169.0,1.0
170,43.29,170.0,1.0
171,53.02,171.0,1.0
172,51.75,172.0,1.0
173,48.24,173.0,1.0
174,54.21,174.0,1.0
175,52.53,175.0,1.0
176,43.34,176.0,1.0
177,81.28,0.0,2.0
178,60.61,1.0,2.0
179,75.53,2.0,2.0
180,62.91,3.0,2.0
181,39.95,4.0,2.0
182,70.0,5.0,2.0
183,54.24,6.0,2.0
184,57.51,7.0,2.0
185,57.0,8.0,2.0
186,50.88,9.0,2.0
187,57.51,10.0,2.0
188,53.33,11.0,2.0
189,47.06,12.0,2.0
190,59.31,13.0,2.0
191,68.31,14.0,2.0
192,53.3,15.0,2.0
193,38.01,16.0,2.0
194,61.67,17.0,2.0
195,54.46,18.0,2.0
196,48.72,19.0,2.0
197,59.26,20.0,2.0
198,31.9,21.0,2.0
199,38.56,22.0,2.0
200,55.92,23.0,2.0
201,49.05,24.0,2.0
202,52.22,25.0,2.0
203,34.86,26.0,2.0
204,19.21,27.0,2.0
205,20.48,28.0,2.0
206,53.6,29.0,2.0
207,58.69,30.0,2.0
208,29.47,31.0,2.0
209,36.23,32.0,2.0
210,57.58,33.0,2.0
211,13.51,34.0,2.0
212,16.02,35.0,2.0
213,30.72,36.0,2.0
214,67.33,37.0,2.0
215,62.86,38.0,2.0
216,50.36,39.0,2.0
217,43.84,40.0,2.0
218,32.63,41.0,2.0
219,7.27,42.0,2.0
220,38.95,43.0,2.0
221,21.33,44.0,2.0
222,46.41,45.0,2.0
223,29.25,46.0,2.0
224,29.28,47.0,2.0
225,53.73,48.0,2.0
226,60.83,49.0,2.0
227,56.73,50.0,2.0
228,60.21,51.0,2.0
229,59.11,52.0,2.0
230,35.15,53.0,2.0
231,40.39,54.0,2.0
232,42.97,55.0,2.0
233,39.85,56.0,2.0
234,54.71,57.0,2.0
235,43.82,58.0,2.0
236,36.17,59.0,2.0
237,30.07,60.0,2.0
238,37.12,61.0,2.0
239,43.13,62.0,2.0
240,35.56,63.0,2.0
241,40.54,64.0,2.0
242,51.4,65.0,2.0
243,51.72,66.0,2.0
244,51.91,67.0,2.0
245,32.28,68.0,2.0
246,38.39,69.0,2.0
247,48.7,70.0,2.0
248,44.64,71.0,2.0
249,54.7,72.0,2.0
250,41.29,73.0,2.0
251,33.9,74.0,2.0
252,37.75,75.0,2.0
253,30.04,76.0,2.0
254,48.94,77.0,2.0
255,51.61,78.0,2.0
256,35.37,79.0,2.0
257,36.01,80.0,2.0
258,52.85,81.0,2.0
259,43.97,82.0,2.0
260,41.86,83.0,2.0
261,47.96,84.0,2.0
262,48.69,85.0,2.0
263,23.08,86.0,2.0
264,45.18,87.0,2.0
265,35.1,88.0,2.0
266,50.32,89.0,2.0
267,43.81,90.0,2.0
268,43.89,91.0,2.0
269,40.17,92.0,2.0
270,26.43,93.0,2.0
271,45.85,94.0,2.0
272,46.95,95.0,2.0
273,47.07,96.0,2.0
274,50.62,97.0,2.0
275,54.8,98.0,2.0
276,53.8,99.0,2.0
277,53.25,100.0,2.0
278,55.03,101.0,2.0
279,54.67,102.0,2.0
280,50.45,103.0,2.0
281,59.25,104.0,2.0
282,54.21,105.0,2.0
283,55.38,106.0,2.0
284,48.14,107.0,2.0
285,51.55,108.0,2.0
286,53.64,109.0,2.0
287,54.55,110.0,2.0
288,47.59,111.0,2.0
289,53.84,112.0,2.0
290,60.18,113.0,2.0
291,53.76,114.0,2.0
292,54.19,115.0,2.0
293,48.56,116.0,2.0
294,49.76,117.0,2.0
295,52.67,118.0,2.0
296,51.14,119.0,2.0
297,48.61,120.0,2.0
298,45.18,121.0,2.0
299,43.06,122.0,2.0
300,41.87,123.0,2.0
301,37.48,124.0,2.0
302,34.96,125.0,2.0
303,37.94,126.0,2.0
304,43.63,127.0,2.0
305,34.66,128.0,2.0
306,31.01,129.0,2.0
307,35.78,130.0,2.0
308,37.75,131.0,2.0
309,39.31,132.0,2.0
310,38.99,133.0,2.0
311,33.22,134.0,2.0
312,37.21,135.0,2.0
313,40.28,136.0,2.0
314,43.19,137.0,2.0
315,41.92,138.0,2.0
316,37.13,139.0,2.0
317,45.42,140.0,2.0
318,49.29,141.0,2.0
319,47.11,142.0,2.0
320,41.92,143.0,2.0
321,49.44,144.0,2.0
322,44.79,145.0,2.0
