,positive_value,index,k
0,54.9,0.0,1.0
1,52.94,1.0,1.0
2,55.87,2.0,1.0
3,71.58,3.0,1.0
4,54.21,4.0,1.0
5,44.27,5.0,1.0
6,51.44,6.0,1.0
7,55.3,7.0,1.0
8,53.64,8.0,1.0
9,54.25,9.0,1.0
10,59.17,10.0,1.0
11,50.22,11.0,1.0
12,38.26,12.0,1.0
13,54.8,13.0,1.0
14,58.99,14.0,1.0
15,55.0,15.0,1.0
16,55.62,16.0,1.0
17,56.13,17.0,1.0
18,53.79,18.0,1.0
19,52.32,19.0,1.0
20,57.44,20.0,1.0
21,58.49,21.0,1.0
22,52.71,22.0,1.0
23,55.84,23.0,1.0
24,60.0,24.0,1.0
25,55.97,25.0,1.0
26,66.08,26.0,1.0
27,56.67,27.0,1.0
28,56.31,28.0,1.0
29,64.1,29.0,1.0
30,54.13,30.0,1.0
31,57.62,31.0,1.0
32,48.37,32.0,1.0
33,53.7,33.0,1.0
34,56.25,34.0,1.0
35,52.71,35.0,1.0
36,54.01,36.0,1.0
37,61.08,37.0,1.0
38,52.38,38.0,1.0
39,51.95,39.0,1.0
40,47.88,40.0,1.0
41,52.63,41.0,1.0
42,57.25,42.0,1.0
43,64.5,43.0,1.0
44,56.45,44.0,1.0
45,50.65,45.0,1.0
46,52.29,46.0,1.0
47,52.33,47.0,1.0
48,62.86,48.0,1.0
49,54.05,49.0,1.0
50,53.62,50.0,1.0
51,52.48,51.0,1.0
52,69.09,52.0,1.0
53,56.32,53.0,1.0
54,52.33,54.0,1.0
55,58.82,55.0,1.0
56,44.09,56.0,1.0
57,51.08,57.0,1.0
58,50.59,58.0,1.0
59,39.17,59.0,1.0
60,56.73,60.0,1.0
61,52.4,61.0,1.0
62,56.14,62.0,1.0
63,46.77,63.0,1.0
64,44.33,64.0,1.0
65,52.82,65.0,1.0
66,42.6,66.0,1.0
67,54.15,67.0,1.0
68,52.05,68.0,1.0
69,40.24,69.0,1.0
70,44.4,70.0,1.0
71,43.56,71.0,1.0
72,52.71,72.0,1.0
73,32.01,73.0,1.0
74,37.13,74.0,1.0
75,30.75,75.0,1.0
76,38.66,76.0,1.0
77,44.13,77.0,1.0
78,32.2,78.0,1.0
79,39.08,79.0,1.0
80,46.89,80.0,1.0
81,39.03,81.0,1.0
82,38.02,82.0,1.0
83,38.48,83.0,1.0
84,47.83,84.0,1.0
85,42.59,85.0,1.0
86,44.66,86.0,1.0
87,48.41,87.0,1.0
88,34.27,88.0,1.0
89,34.59,89.0,1.0
90,35.1,90.0,1.0
91,32.95,91.0,1.0
92,44.88,92.0,1.0
93,50.2,93.0,1.0
94,43.02,94.0,1.0
95,29.29,95.0,1.0
96,52.04,96.0,1.0
97,56.69,97.0,1.0
98,59.87,98.0,1.0
99,55.34,99.0,1.0
100,56.43,100.0,1.0
101,43.82,101.0,1.0
102,51.76,102.0,1.0
103,37.42,103.0,1.0
104,37.68,104.0,1.0
105,39.25,105.0,1.0
106,25.25,106.0,1.0
107,36.44,107.0,1.0
108,28.33,108.0,1.0
109,31.1,109.0,1.0
110,31.59,110.0,1.0
111,39.01,111.0,1.0
112,41.34,112.0,1.0
113,39.23,113.0,1.0
114,30.31,114.0,1.0
115,31.28,115.0,1.0
116,34.93,116.0,1.0
117,34.76,117.0,1.0
118,38.85,118.0,1.0
119,32.64,119.0,1.0
120,35.48,120.0,1.0
121,34.67,121.0,1.0
122,37.53,122.0,1.0
123,34.57,123.0,1.0
124,29.46,124.0,1.0
125,31.4,125.0,1.0
126,38.77,126.0,1.0
127,38.51,127.0,1.0
128,33.27,128.0,1.0
129,35.2,129.0,1.0
130,39.72,130.0,1.0
131,38.07,131.0,1.0
132,39.61,132.0,1.0
133,46.47,133.0,1.0
134,45.16,134.0,1.0
135,50.46,135.0,1.0
136,44.0,136.0,1.0
137,47.75,137.0,1.0
138,46.88,138.0,1.0
139,47.01,139.0,1.0
140,47.56,140.0,1.0
141,44.4,141.0,1.0
142,45.15,142.0,1.0
143,46.14,143.0,1.0
144,49.11,144.0,1.0
145,46.34,145.0,1.0
146,44.02,146.0,1.0
147,42.56,147.0,1.0
148,49.24,148.0,1.0
149,48.86,149.0,1.0
150,43.11,150.0,1.0
151,49.18,151.0,1.0
152,44.51,152.0,1.0
153,50.99,153.0,1.0
154,50.62,154.0,1.0
155,46.54,155.0,1.0
156,43.6,156.0,1.0
157,41.84,157.0,1.0
158,49.25,158.0,1.0
159,48.94,159.0,1.0
160,48.72,160.0,1.0
161,43.57,161.0,1.0
162,50.49,162.0,1.0
163,50.49,163.0,1.0
164,47.4,164.0,1.0
165,48.52,165.0,1.0
166,47.68,166.0,1.0
167,49.63,167.0,1.0
168,46.21,168.0,1.0
169,39.53,169.0,1.0
170,47.28,170.0,1.0
171,45.34,171.0,1.0
172,50.39,172.0,1.0
173,48.34,173.0,1.0
174,51.95,174.0,1.0
175,54.94,175.0,1.0
176,50.45,176.0,1.0
177,49.8,177.0,1.0
178,42.5,178.0,1.0
179,48.38,179.0,1.0
180,50.06,180.0,1.0
181,46.8,181.0,1.0
182,44.6,182.0,1.0
183,50.19,183.0,1.0
184,48.64,184.0,1.0
185,49.86,185.0,1.0
186,52.61,0.0,2.0
187,54.36,1.0,2.0
188,50.53,2.0,2.0
189,57.47,3.0,2.0
190,59.29,4.0,2.0
191,53.42,5.0,2.0
192,42.05,6.0,2.0
193,54.44,7.0,2.0
194,56.21,8.0,2.0
195,52.5,9.0,2.0
196,56.71,10.0,2.0
197,45.38,11.0,2.0
198,45.35,12.0,2.0
199,53.7,13.0,2.0
200,60.0,14.0,2.0
201,54.31,15.0,2.0
202,57.92,16.0,2.0
203,52.99,17.0,2.0
204,54.6,18.0,2.0
