,positive_value,index,k
0,42.42,0.0,1.0
1,57.98,1.0,1.0
2,62.09,2.0,1.0
3,63.33,3.0,1.0
4,65.37,4.0,1.0
5,58.61,5.0,1.0
6,56.91,6.0,1.0
7,52.38,7.0,1.0
8,54.0,8.0,1.0
9,53.58,9.0,1.0
10,54.15,10.0,1.0
11,53.99,11.0,1.0
12,49.93,12.0,1.0
13,60.2,13.0,1.0
14,58.49,14.0,1.0
15,47.29,15.0,1.0
16,60.61,16.0,1.0
17,60.31,17.0,1.0
18,53.65,18.0,1.0
19,47.95,19.0,1.0
20,41.67,20.0,1.0
21,55.69,21.0,1.0
22,57.69,22.0,1.0
23,64.1,23.0,1.0
24,29.52,24.0,1.0
25,39.22,25.0,1.0
26,57.08,26.0,1.0
27,57.39,27.0,1.0
28,54.43,28.0,1.0
29,50.59,29.0,1.0
30,50.74,30.0,1.0
31,42.86,31.0,1.0
32,55.11,32.0,1.0
33,56.67,33.0,1.0
34,45.26,34.0,1.0
35,50.0,35.0,1.0
36,62.34,36.0,1.0
37,37.1,37.0,1.0
38,50.22,38.0,1.0
39,49.67,39.0,1.0
40,62.67,40.0,1.0
41,60.48,41.0,1.0
42,47.51,42.0,1.0
43,52.54,43.0,1.0
44,46.19,44.0,1.0
45,41.82,45.0,1.0
46,53.68,46.0,1.0
47,26.0,47.0,1.0
48,63.4,48.0,1.0
49,52.69,49.0,1.0
50,44.01,50.0,1.0
51,53.08,51.0,1.0
52,60.0,52.0,1.0
53,51.46,53.0,1.0
54,62.01,54.0,1.0
55,59.11,55.0,1.0
56,51.11,56.0,1.0
57,50.49,57.0,1.0
58,51.83,58.0,1.0
59,49.37,59.0,1.0
60,58.02,60.0,1.0
61,47.87,61.0,1.0
62,33.86,62.0,1.0
63,54.26,63.0,1.0
64,62.12,64.0,1.0
65,51.52,65.0,1.0
66,51.92,66.0,1.0
67,55.19,67.0,1.0
68,61.51,68.0,1.0
69,56.53,69.0,1.0
70,55.82,70.0,1.0
71,49.85,71.0,1.0
72,53.56,72.0,1.0
73,58.59,73.0,1.0
74,53.04,74.0,1.0
75,55.31,75.0,1.0
76,52.56,76.0,1.0
77,38.93,77.0,1.0
78,45.92,78.0,1.0
79,44.27,79.0,1.0
80,58.2,80.0,1.0
81,53.02,81.0,1.0
82,58.51,82.0,1.0
83,44.9,83.0,1.0
84,50.95,84.0,1.0
85,49.0,85.0,1.0
86,45.97,86.0,1.0
87,41.47,87.0,1.0
88,47.98,88.0,1.0
89,44.12,89.0,1.0
90,51.06,90.0,1.0
91,52.58,91.0,1.0
92,52.38,92.0,1.0
93,48.19,93.0,1.0
94,51.72,94.0,1.0
95,30.42,95.0,1.0
96,39.96,96.0,1.0
97,50.98,97.0,1.0
98,51.42,98.0,1.0
99,49.45,99.0,1.0
100,51.11,100.0,1.0
101,51.64,101.0,1.0
102,54.03,102.0,1.0
103,53.42,103.0,1.0
104,56.8,104.0,1.0
105,57.03,105.0,1.0
106,54.16,106.0,1.0
107,54.23,107.0,1.0
108,53.39,108.0,1.0
109,58.49,109.0,1.0
110,52.15,110.0,1.0
111,53.27,111.0,1.0
112,56.58,112.0,1.0
113,55.45,113.0,1.0
114,52.34,114.0,1.0
115,56.91,115.0,1.0
116,52.4,116.0,1.0
117,53.94,117.0,1.0
118,54.89,118.0,1.0
119,55.39,119.0,1.0
120,55.28,120.0,1.0
121,54.72,121.0,1.0
122,53.06,122.0,1.0
123,53.9,123.0,1.0
124,53.24,124.0,1.0
125,52.19,125.0,1.0
126,51.51,126.0,1.0
127,50.93,127.0,1.0
128,45.31,128.0,1.0
129,48.4,129.0,1.0
130,51.15,130.0,1.0
131,42.62,131.0,1.0
132,46.7,132.0,1.0
133,45.18,133.0,1.0
134,50.26,134.0,1.0
135,44.18,135.0,1.0
136,51.04,136.0,1.0
137,48.92,137.0,1.0
138,47.1,138.0,1.0
139,49.5,139.0,1.0
140,51.27,140.0,1.0
141,43.5,141.0,1.0
142,47.77,142.0,1.0
143,47.36,143.0,1.0
144,45.63,144.0,1.0
145,53.06,145.0,1.0
146,46.3,146.0,1.0
147,46.29,147.0,1.0
148,50.33,148.0,1.0
149,45.36,149.0,1.0
150,50.2,150.0,1.0
151,59.46,151.0,1.0
152,54.49,152.0,1.0
153,51.28,153.0,1.0
154,48.62,154.0,1.0
155,49.82,155.0,1.0
156,39.63,156.0,1.0
157,46.68,157.0,1.0
158,35.97,158.0,1.0
159,46.67,159.0,1.0
160,42.62,160.0,1.0
161,53.96,161.0,1.0
162,45.91,162.0,1.0
163,53.67,163.0,1.0
164,52.95,164.0,1.0
165,54.5,165.0,1.0
166,45.18,166.0,1.0
167,48.5,167.0,1.0
168,42.47,168.0,1.0
169,25.65,169.0,1.0
170,48.07,170.0,1.0
171,42.25,171.0,1.0
172,52.45,172.0,1.0
173,49.72,173.0,1.0
174,52.07,174.0,1.0
175,51.58,175.0,1.0
176,43.64,176.0,1.0
177,50.29,177.0,1.0
178,43.77,178.0,1.0
179,53.85,0.0,2.0
180,62.09,1.0,2.0
181,63.33,2.0,2.0
182,65.37,3.0,2.0
183,58.61,4.0,2.0
184,56.91,5.0,2.0
185,52.38,6.0,2.0
186,54.0,7.0,2.0
187,53.79,8.0,2.0
188,54.15,9.0,2.0
189,53.99,10.0,2.0
190,49.93,11.0,2.0
191,60.2,12.0,2.0
192,58.49,13.0,2.0
193,47.29,14.0,2.0
194,60.61,15.0,2.0
195,60.31,16.0,2.0
196,53.83,17.0,2.0
197,47.95,18.0,2.0
198,41.67,19.0,2.0
199,55.69,20.0,2.0
200,57.69,21.0,2.0
201,64.1,22.0,2.0
202,29.52,23.0,2.0
203,39.22,24.0,2.0
204,54.97,25.0,2.0
205,57.39,26.0,2.0
206,54.43,27.0,2.0
207,50.59,28.0,2.0
208,50.74,29.0,2.0
209,42.86,30.0,2.0
210,55.11,31.0,2.0
211,56.67,32.0,2.0
212,45.26,33.0,2.0
213,50.0,34.0,2.0
214,62.34,35.0,2.0
215,37.1,36.0,2.0
216,50.22,37.0,2.0
217,49.67,38.0,2.0
218,62.67,39.0,2.0
219,60.48,40.0,2.0
220,47.51,41.0,2.0
221,52.54,42.0,2.0
222,46.19,43.0,2.0
223,41.82,44.0,2.0
224,53.68,45.0,2.0
225,26.0,46.0,2.0
226,63.4,47.0,2.0
227,52.69,48.0,2.0
228,44.01,49.0,2.0
229,53.08,50.0,2.0
230,60.0,51.0,2.0
231,51.46,52.0,2.0
232,62.01,53.0,2.0
233,59.11,54.0,2.0
234,51.11,55.0,2.0
235,50.49,56.0,2.0
236,51.83,57.0,2.0
237,49.37,58.0,2.0
238,58.02,59.0,2.0
239,47.87,60.0,2.0
240,33.86,61.0,2.0
241,54.26,62.0,2.0
242,62.12,63.0,2.0
243,51.52,64.0,2.0
244,51.92,65.0,2.0
245,55.19,66.0,2.0
246,61.51,67.0,2.0
247,56.53,68.0,2.0
248,55.82,69.0,2.0
249,49.85,70.0,2.0
250,53.56,71.0,2.0
251,58.59,72.0,2.0
252,53.04,73.0,2.0
253,55.31,74.0,2.0
254,52.56,75.0,2.0
255,38.93,76.0,2.0
256,45.19,77.0,2.0
257,44.27,78.0,2.0
258,58.2,79.0,2.0
259,53.02,80.0,2.0
260,58.51,81.0,2.0
261,44.9,82.0,2.0
262,51.26,83.0,2.0
263,49.0,84.0,2.0
264,45.97,85.0,2.0
265,41.47,86.0,2.0
266,47.98,87.0,2.0
267,44.12,88.0,2.0
268,51.06,89.0,2.0
269,52.58,90.0,2.0
270,52.38,91.0,2.0
271,48.19,92.0,2.0
272,51.72,93.0,2.0
273,30.42,94.0,2.0
274,39.96,95.0,2.0
275,50.98,96.0,2.0
276,51.42,97.0,2.0
277,49.45,98.0,2.0
278,51.11,99.0,2.0
279,51.64,100.0,2.0
280,54.03,101.0,2.0
281,53.28,102.0,2.0
282,56.8,103.0,2.0
283,56.38,104.0,2.0
284,54.16,105.0,2.0
285,54.23,106.0,2.0
286,53.39,107.0,2.0
287,58.49,108.0,2.0
288,52.15,109.0,2.0
289,53.27,110.0,2.0
290,56.58,111.0,2.0
291,55.45,112.0,2.0
292,52.53,113.0,2.0
293,56.53,114.0,2.0
294,52.4,115.0,2.0
295,53.94,116.0,2.0
296,54.88,117.0,2.0
297,55.39,118.0,2.0
298,55.34,119.0,2.0
299,54.7,120.0,2.0
300,52.98,121.0,2.0
301,53.89,122.0,2.0
302,53.31,123.0,2.0
303,52.19,124.0,2.0
304,51.49,125.0,2.0
305,50.94,126.0,2.0
306,45.31,127.0,2.0
307,48.4,128.0,2.0
308,51.15,129.0,2.0
309,42.64,130.0,2.0
310,46.7,131.0,2.0
311,45.19,132.0,2.0
312,50.26,133.0,2.0
313,44.17,134.0,2.0
314,50.99,135.0,2.0
315,48.92,136.0,2.0
316,47.1,137.0,2.0
317,49.49,138.0,2.0
318,51.21,139.0,2.0
319,43.48,140.0,2.0
320,47.77,141.0,2.0
321,47.36,142.0,2.0
322,45.63,143.0,2.0
323,53.06,144.0,2.0
324,46.3,145.0,2.0
325,46.29,146.0,2.0
326,50.65,147.0,2.0
327,45.36,148.0,2.0
328,50.66,149.0,2.0
329,59.46,150.0,2.0
330,54.49,151.0,2.0
331,51.28,152.0,2.0
332,48.62,153.0,2.0
333,49.82,154.0,2.0
334,39.63,155.0,2.0
335,46.68,156.0,2.0
336,35.97,157.0,2.0
337,46.67,158.0,2.0
338,42.62,159.0,2.0
