,positive_value,index,k
0,73.67,0.0,1.0
1,75.45,1.0,1.0
2,82.35,2.0,1.0
3,76.67,3.0,1.0
4,66.67,4.0,1.0
5,78.95,5.0,1.0
6,67.72,6.0,1.0
7,66.4,7.0,1.0
8,78.67,8.0,1.0
9,62.56,9.0,1.0
10,58.21,10.0,1.0
11,54.08,11.0,1.0
12,59.82,12.0,1.0
13,61.68,13.0,1.0
14,73.12,14.0,1.0
15,64.4,15.0,1.0
16,57.58,16.0,1.0
17,76.31,17.0,1.0
18,71.66,18.0,1.0
19,54.39,19.0,1.0
20,55.83,20.0,1.0
21,58.77,21.0,1.0
22,58.97,22.0,1.0
23,60.97,23.0,1.0
24,43.33,24.0,1.0
25,42.48,25.0,1.0
26,68.18,26.0,1.0
27,52.65,27.0,1.0
28,56.65,28.0,1.0
29,45.29,29.0,1.0
30,29.06,30.0,1.0
31,40.0,31.0,1.0
32,59.01,32.0,1.0
33,59.09,33.0,1.0
34,51.05,34.0,1.0
35,52.54,35.0,1.0
36,68.83,36.0,1.0
37,19.15,37.0,1.0
38,30.74,38.0,1.0
39,30.72,39.0,1.0
40,75.0,40.0,1.0
41,62.86,41.0,1.0
42,50.64,42.0,1.0
43,65.58,43.0,1.0
44,52.41,44.0,1.0
45,38.18,45.0,1.0
46,41.05,46.0,1.0
47,32.0,47.0,1.0
48,46.41,48.0,1.0
49,54.19,49.0,1.0
50,34.37,50.0,1.0
51,63.37,51.0,1.0
52,59.17,52.0,1.0
53,65.5,53.0,1.0
54,66.07,54.0,1.0
55,60.86,55.0,1.0
56,47.98,56.0,1.0
57,57.14,57.0,1.0
58,55.48,58.0,1.0
59,47.67,59.0,1.0
60,60.57,60.0,1.0
61,56.39,61.0,1.0
62,56.61,62.0,1.0
63,46.46,63.0,1.0
64,44.7,64.0,1.0
65,51.74,65.0,1.0
66,59.6,66.0,1.0
67,53.91,67.0,1.0
68,49.89,68.0,1.0
69,54.48,69.0,1.0
70,53.06,70.0,1.0
71,38.01,71.0,1.0
72,42.99,72.0,1.0
73,50.45,73.0,1.0
74,54.98,74.0,1.0
75,49.82,75.0,1.0
76,45.39,76.0,1.0
77,43.61,77.0,1.0
78,50.88,78.0,1.0
79,30.04,79.0,1.0
80,60.32,80.0,1.0
81,56.25,81.0,1.0
82,46.98,82.0,1.0
83,48.51,83.0,1.0
84,53.76,84.0,1.0
85,50.28,85.0,1.0
86,47.78,86.0,1.0
87,57.86,87.0,1.0
88,57.07,88.0,1.0
89,42.08,89.0,1.0
90,60.06,90.0,1.0
91,45.53,91.0,1.0
92,50.96,92.0,1.0
93,46.61,93.0,1.0
94,51.43,94.0,1.0
95,45.21,95.0,1.0
96,34.78,96.0,1.0
97,51.71,97.0,1.0
98,56.22,98.0,1.0
99,55.46,99.0,1.0
100,56.88,100.0,1.0
101,57.87,101.0,1.0
102,56.93,102.0,1.0
103,53.82,103.0,1.0
104,55.01,104.0,1.0
105,55.5,105.0,1.0
106,57.43,106.0,1.0
107,58.84,107.0,1.0
